Tabela_Final_País,Tabela_Final_Código,Tabela_Final_Ano,Tabela_Final_Energia_Hídrica_,Tabela_Final_Energia_Éolica_,Tabela_Final_Energia_Solar_,Tabela_Final_Energia_Renovável_,Tabela_Final_Renewables_bins_
Chile,CHL,2003,48.38,0.00,0.00,22.01,14.48
Chile,CHL,2004,42.89,0.00,0.00,19.77,14.48
Chile,CHL,2005,50.22,0.00,0.00,22.42,14.48
Chile,CHL,2006,52.32,0.00,0.00,22.57,14.48
Chile,CHL,2007,39.82,0.00,0.00,18.71,14.48
Chile,CHL,2008,42.13,0.05,0.00,20.92,14.48
Chile,CHL,2009,43.22,0.12,0.00,21.78,14.48
Chile,CHL,2010,36.44,0.55,0.00,19.26,14.48
Chile,CHL,2011,33.40,0.52,0.00,17.50,14.48
Chile,CHL,2012,30.72,0.59,0.00,18.10,14.48
Chile,CHL,2013,28.77,0.81,0.01,18.43,14.48
Chile,CHL,2014,33.67,2.04,0.66,20.19,14.48
Chile,CHL,2015,33.32,2.93,1.91,21.43,14.48
Chile,CHL,2016,26.53,3.07,3.49,19.71,14.48
Chile,CHL,2017,29.39,4.78,5.25,22.41,14.48
Chile,CHL,2018,30.25,5.24,7.10,24.34,14.48
Chile,CHL,2019,26.92,6.23,8.24,24.15,14.48
Chile,CHL,2020,26.53,7.13,9.83,26.56,14.48
Chile,CHL,2021,20.22,8.85,13.24,26.52,14.48
China,CHN,1985,22.50,0.00,0.00,4.44,0.00
China,CHN,1986,21.03,0.00,0.00,4.34,0.00
China,CHN,1987,20.11,0.00,0.00,4.26,0.00
China,CHN,1988,20.02,0.00,0.00,4.32,0.00
China,CHN,1989,20.25,0.00,0.00,4.47,0.00
China,CHN,1990,20.40,0.00,0.00,4.72,0.00
China,CHN,1991,18.40,0.00,0.00,4.42,0.00
China,CHN,1992,17.33,0.02,0.00,4.41,0.00
China,CHN,1993,18.71,0.03,0.00,4.76,0.00
China,CHN,1994,18.05,0.04,0.00,4.95,0.00
China,CHN,1995,18.93,0.06,0.00,5.55,0.00
China,CHN,1996,17.38,0.01,0.00,5.14,0.00
China,CHN,1997,17.26,0.02,0.00,5.36,0.00
China,CHN,1998,17.04,0.03,0.00,5.43,0.00
China,CHN,1999,15.86,0.04,0.00,5.19,0.00
China,CHN,2000,16.41,0.04,0.00,5.66,0.00
China,CHN,2001,18.74,0.05,0.00,6.62,0.00
China,CHN,2002,17.41,0.05,0.00,6.28,0.00
China,CHN,2003,14.85,0.05,0.00,5.30,0.00
China,CHN,2004,16.05,0.06,0.00,5.60,0.00
China,CHN,2005,15.88,0.08,0.00,5.55,0.00
China,CHN,2006,15.21,0.13,0.00,5.58,0.00
China,CHN,2007,14.79,0.17,0.00,5.72,0.00
China,CHN,2008,18.22,0.37,0.00,7.27,0.00
China,CHN,2009,16.57,0.74,0.01,6.94,0.00
China,CHN,2010,16.99,1.18,0.02,7.62,0.00
China,CHN,2011,14.67,1.58,0.06,7.08,0.00
China,CHN,2012,17.37,2.07,0.07,8.52,0.00
China,CHN,2013,16.82,2.56,0.15,8.96,0.00
China,CHN,2014,18.37,2.77,0.41,10.20,0.00
China,CHN,2015,19.26,3.21,0.68,10.79,0.00
China,CHN,2016,18.93,3.95,1.09,11.53,0.00
China,CHN,2017,17.76,4.64,1.80,12.14,0.00
China,CHN,2018,16.84,5.14,2.48,12.81,0.00
China,CHN,2019,17.05,5.43,3.00,13.52,0.00
China,CHN,2020,17.09,6.03,3.38,14.24,0.00
China,CHN,2021,15.32,7.73,3.85,14.95,14.48
Colombia,COL,1985,62.78,0.00,0.00,24.44,14.48
Colombia,COL,1986,67.40,0.00,0.00,27.28,14.48
Colombia,COL,1987,69.02,0.00,0.00,27.31,14.48
Colombia,COL,1988,69.12,0.00,0.00,28.75,14.48
Colombia,COL,1989,72.34,0.00,0.00,29.79,28.96
Colombia,COL,1990,71.89,0.00,0.00,32.64,28.96
Colombia,COL,1991,69.10,0.00,0.00,31.70,28.96
Colombia,COL,1992,60.85,0.00,0.00,24.61,14.48
Colombia,COL,1993,66.82,0.00,0.00,27.85,14.48
Colombia,COL,1994,71.20,0.00,0.00,29.81,28.96
Colombia,COL,1995,67.37,0.00,0.00,29.33,28.96
Colombia,COL,1996,72.95,0.00,0.00,31.48,28.96
Colombia,COL,1997,63.07,0.00,0.00,27.33,14.48
Colombia,COL,1998,61.22,0.00,0.00,26.69,14.48
Colombia,COL,1999,70.54,0.00,0.00,31.38,28.96
Colombia,COL,2000,75.25,0.00,0.02,29.56,28.96
Colombia,COL,2001,74.14,0.00,0.02,30.60,28.96
Colombia,COL,2002,76.31,0.00,0.02,32.69,28.96
Colombia,COL,2003,78.55,0.00,0.02,33.39,28.96
Colombia,COL,2004,81.33,0.10,0.02,34.51,28.96
Colombia,COL,2005,79.85,0.10,0.02,35.05,28.96
Colombia,COL,2006,80.24,0.11,0.02,34.14,28.96
Colombia,COL,2007,81.18,0.09,0.02,35.18,28.96
Colombia,COL,2008,83.60,0.09,0.02,33.94,28.96
Colombia,COL,2009,72.77,0.11,0.02,31.38,28.96
Colombia,COL,2010,70.65,0.07,0.02,30.09,28.96
Colombia,COL,2011,82.13,0.07,0.02,34.52,28.96
Colombia,COL,2012,77.83,0.08,0.02,31.75,28.96
Colombia,COL,2013,68.92,0.08,0.01,29.39,28.96
Colombia,COL,2014,68.41,0.10,0.01,28.36,14.48
Colombia,COL,2015,62.91,0.09,0.01,28.02,14.48
Colombia,COL,2016,65.00,0.07,0.01,27.71,14.48
Colombia,COL,2017,78.29,0.00,0.01,32.83,28.96
Colombia,COL,2018,74.71,0.05,0.03,32.00,28.96
Colombia,COL,2019,67.80,0.08,0.17,29.89,28.96
Colombia,COL,2020,62.79,0.01,0.25,30.77,28.96
Colombia,COL,2021,71.92,0.07,0.40,33.02,28.96
Croatia,HRV,1990,44.24,0.00,0.00,11.20,0.00
Croatia,HRV,1991,64.38,0.00,0.00,20.50,14.48
Croatia,HRV,1992,48.88,0.00,0.00,15.99,14.48
Croatia,HRV,1993,47.54,0.00,0.00,16.09,14.48
Croatia,HRV,1994,61.92,0.00,0.00,18.96,14.48
Croatia,HRV,1995,61.27,0.00,0.00,19.15,14.48
Croatia,HRV,1996,70.37,0.00,0.00,24.70,14.48
Croatia,HRV,1997,57.18,0.00,0.00,18.54,14.48
Croatia,HRV,1998,52.58,0.00,0.00,18.05,14.48
Croatia,HRV,1999,56.47,0.00,0.00,21.23,14.48
Croatia,HRV,2000,57.28,0.00,0.00,19.77,14.48
Croatia,HRV,2001,56.23,0.00,0.00,20.78,14.48
Croatia,HRV,2002,46.03,0.00,0.00,16.81,14.48
Croatia,HRV,2003,41.40,0.00,0.00,14.89,14.48
Croatia,HRV,2004,54.93,0.00,0.00,19.90,14.48
Croatia,HRV,2005,53.91,0.08,0.00,18.50,14.48
Croatia,HRV,2006,51.24,0.15,0.00,17.52,14.48
Croatia,HRV,2007,37.48,0.24,0.00,12.37,0.00
Croatia,HRV,2008,45.23,0.31,0.00,15.23,14.48
Croatia,HRV,2009,55.51,0.37,0.00,19.64,14.48
Croatia,HRV,2010,61.73,0.95,0.00,23.85,14.48
Croatia,HRV,2011,44.79,1.78,0.00,15.47,14.48
Croatia,HRV,2012,45.70,3.12,0.00,16.52,14.48
Croatia,HRV,2013,61.79,3.73,0.07,26.37,14.48
Croatia,HRV,2014,67.04,5.43,0.30,28.12,14.48
Croatia,HRV,2015,56.80,7.11,0.53,22.37,14.48
Croatia,HRV,2016,54.28,8.00,0.55,23.87,14.48
Croatia,HRV,2017,45.04,10.18,0.68,20.27,14.48
Croatia,HRV,2018,56.83,9.89,0.52,26.74,14.48
Croatia,HRV,2019,46.05,11.61,0.63,23.46,14.48
Croatia,HRV,2020,42.75,12.99,0.76,25.17,14.48
Croatia,HRV,2021,47.16,13.62,0.99,28.27,14.48
Cyprus,CYP,1985,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1986,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1987,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1988,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1989,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1990,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1991,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1992,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1993,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1994,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1995,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1996,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1997,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1998,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,1999,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,2000,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,2001,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,2002,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,2003,0.00,0.00,0.00,0.00,0.00
Cyprus,CYP,2004,0.00,0.00,0.00,0.01,0.00
Cyprus,CYP,2005,0.00,0.00,0.00,0.01,0.00
Cyprus,CYP,2006,0.00,0.00,0.00,0.01,0.00
Cyprus,CYP,2007,0.00,0.00,0.00,0.03,0.00
Cyprus,CYP,2008,0.00,0.00,0.00,0.13,0.00
Cyprus,CYP,2009,0.00,0.00,0.00,0.28,0.00
Cyprus,CYP,2010,0.00,0.56,0.19,0.64,0.00
Cyprus,CYP,2011,0.00,2.24,0.20,1.52,0.00
Cyprus,CYP,2012,0.00,4.03,0.42,2.30,0.00
Cyprus,CYP,2013,0.00,5.36,1.17,3.23,0.00
Cyprus,CYP,2014,0.00,4.15,1.84,3.13,0.00
Cyprus,CYP,2015,0.00,4.85,2.86,3.78,0.00
Cyprus,CYP,2016,0.00,4.70,3.07,3.67,0.00
Cyprus,CYP,2017,0.00,4.20,3.40,3.64,0.00
Cyprus,CYP,2018,0.00,4.35,3.95,3.87,0.00
Cyprus,CYP,2019,0.00,4.66,4.27,4.28,0.00
Cyprus,CYP,2020,0.00,4.95,6.19,5.66,0.00
Czechia,CZE,1985,2.88,0.00,0.00,0.78,0.00
Czechia,CZE,1986,3.10,0.00,0.00,0.87,0.00
Czechia,CZE,1987,3.96,0.00,0.00,1.12,0.00
Czechia,CZE,1988,3.26,0.00,0.00,0.95,0.00
Czechia,CZE,1989,2.52,0.00,0.00,0.76,0.00
Czechia,CZE,1990,1.86,0.00,0.00,0.63,0.00
Czechia,CZE,1991,1.81,0.00,0.00,0.65,0.00
Czechia,CZE,1992,2.37,0.00,0.00,0.86,0.00
Czechia,CZE,1993,2.34,0.00,0.00,0.99,0.00
Czechia,CZE,1994,2.50,0.00,0.00,1.14,0.00
Czechia,CZE,1995,3.30,0.00,0.00,1.48,0.00
Czechia,CZE,1996,3.09,0.00,0.00,1.34,0.00
Czechia,CZE,1997,2.65,0.00,0.00,1.37,0.00
Czechia,CZE,1998,2.17,0.00,0.00,1.28,0.00
Czechia,CZE,1999,2.62,0.00,0.00,1.59,0.00
Czechia,CZE,2000,2.41,0.00,0.00,1.44,0.00
Czechia,CZE,2001,2.76,0.00,0.00,1.58,0.00
Czechia,CZE,2002,3.28,0.00,0.00,1.82,0.00
Czechia,CZE,2003,1.67,0.00,0.00,1.09,0.00
Czechia,CZE,2004,2.41,0.01,0.00,1.46,0.00
Czechia,CZE,2005,2.90,0.02,0.00,1.72,0.00
Czechia,CZE,2006,3.05,0.06,0.00,1.95,0.00
Czechia,CZE,2007,2.38,0.15,0.00,1.92,0.00
Czechia,CZE,2008,2.43,0.29,0.01,2.15,0.00
Czechia,CZE,2009,2.98,0.36,0.11,2.80,0.00
Czechia,CZE,2010,3.27,0.40,0.73,3.36,0.00
Czechia,CZE,2011,2.26,0.46,2.52,4.27,0.00
Czechia,CZE,2012,2.46,0.48,2.48,4.79,0.00
Czechia,CZE,2013,3.18,0.56,2.36,5.60,0.00
Czechia,CZE,2014,2.25,0.56,2.49,5.65,0.00
Czechia,CZE,2015,2.17,0.69,2.74,5.90,0.00
Czechia,CZE,2016,2.44,0.61,2.60,5.95,0.00
Czechia,CZE,2017,2.18,0.69,2.56,5.82,0.00
Czechia,CZE,2018,1.88,0.70,2.72,5.69,0.00
Czechia,CZE,2019,2.34,0.82,2.73,6.12,0.00
Czechia,CZE,2020,2.67,0.87,2.92,6.69,0.00
Czechia,CZE,2021,2.88,0.72,2.77,6.50,0.00
Denmark,DNK,1985,0.10,0.18,0.00,0.16,0.00
Denmark,DNK,1986,0.09,0.41,0.00,0.28,0.00
Denmark,DNK,1987,0.10,0.59,0.00,0.37,0.00
Denmark,DNK,1988,0.12,1.04,0.00,0.57,0.00
Denmark,DNK,1989,0.10,1.87,0.00,0.89,0.00
Denmark,DNK,1990,0.12,2.35,0.00,1.27,0.00
Denmark,DNK,1991,0.08,2.03,0.00,1.46,0.00
Denmark,DNK,1992,0.10,2.99,0.00,2.04,0.00
Denmark,DNK,1993,0.09,3.03,0.00,2.36,0.00
Denmark,DNK,1994,0.07,2.81,0.00,2.13,0.00
Denmark,DNK,1995,0.08,3.21,0.00,2.31,0.00
Denmark,DNK,1996,0.04,2.30,0.00,2.19,0.00
Denmark,DNK,1997,0.05,4.36,0.00,3.38,0.00
Denmark,DNK,1998,0.07,6.86,0.00,4.68,0.00
Denmark,DNK,1999,0.08,7.79,0.00,5.39,0.00
Denmark,DNK,2000,0.08,11.78,0.00,7.10,0.00
Denmark,DNK,2001,0.08,11.43,0.00,7.40,0.00
Denmark,DNK,2002,0.08,12.42,0.00,8.59,0.00
Denmark,DNK,2003,0.04,12.05,0.00,9.46,0.00
Denmark,DNK,2004,0.07,16.28,0.00,11.73,0.00
Denmark,DNK,2005,0.06,18.24,0.00,12.49,0.00
Denmark,DNK,2006,0.04,13.40,0.00,10.61,0.00
Denmark,DNK,2007,0.08,18.24,0.00,12.42,0.00
Denmark,DNK,2008,0.08,18.92,0.00,12.61,0.00
Denmark,DNK,2009,0.06,18.47,0.00,13.33,0.00
Denmark,DNK,2010,0.05,20.09,0.03,15.65,14.48
Denmark,DNK,2011,0.06,27.74,0.03,18.65,14.48
Denmark,DNK,2012,0.07,33.45,0.33,20.93,14.48
Denmark,DNK,2013,0.03,32.01,1.50,21.38,14.48
Denmark,DNK,2014,0.06,40.63,1.86,24.63,14.48
Denmark,DNK,2015,0.07,48.84,2.07,26.66,14.48
Denmark,DNK,2016,0.07,41.83,2.42,25.71,14.48
Denmark,DNK,2017,0.06,47.63,2.42,30.30,28.96
Denmark,DNK,2018,0.03,45.78,3.13,29.15,28.96
Denmark,DNK,2019,0.07,54.73,3.25,32.80,28.96
Denmark,DNK,2020,0.07,56.84,4.11,37.27,28.96
Denmark,DNK,2021,0.06,48.55,3.96,39.25,28.96
Ecuador,ECU,1985,71.94,0.00,0.00,15.90,14.48
Ecuador,ECU,1986,80.05,0.00,0.00,18.56,14.48
Ecuador,ECU,1987,84.88,0.00,0.00,20.52,14.48
Ecuador,ECU,1988,85.55,0.00,0.00,18.76,14.48
Ecuador,ECU,1989,85.87,0.00,0.00,18.67,14.48
Ecuador,ECU,1990,78.54,0.00,0.00,18.21,14.48
Ecuador,ECU,1991,72.78,0.00,0.00,16.78,14.48
Ecuador,ECU,1992,69.12,0.00,0.00,16.53,14.48
Ecuador,ECU,1993,78.40,0.00,0.00,18.63,14.48
Ecuador,ECU,1994,80.61,0.00,0.00,19.35,14.48
Ecuador,ECU,1995,61.23,0.00,0.00,16.09,14.48
Ecuador,ECU,1996,65.54,0.00,0.00,17.38,14.48
Ecuador,ECU,1997,63.06,0.00,0.00,16.07,14.48
Ecuador,ECU,1998,59.74,0.00,0.00,15.92,14.48
Ecuador,ECU,1999,69.62,0.00,0.00,19.25,14.48
Ecuador,ECU,2000,72.75,0.00,0.00,21.61,14.48
Ecuador,ECU,2001,65.18,0.00,0.00,19.69,14.48
Ecuador,ECU,2002,64.50,0.00,0.00,21.10,14.48
Ecuador,ECU,2003,63.43,0.00,0.00,19.53,14.48
Ecuador,ECU,2004,56.12,0.00,0.00,18.73,14.48
Ecuador,ECU,2005,56.00,0.00,0.00,16.60,14.48
Ecuador,ECU,2006,52.22,0.00,0.00,16.25,14.48
Ecuador,ECU,2007,53.98,0.00,0.00,19.56,14.48
Ecuador,ECU,2008,61.23,0.00,0.00,22.62,14.48
Ecuador,ECU,2009,50.95,0.00,0.00,18.93,14.48
Ecuador,ECU,2010,45.50,0.00,0.00,15.94,14.48
Ecuador,ECU,2011,55.43,0.00,0.00,19.20,14.48
Ecuador,ECU,2012,54.82,0.00,0.00,19.84,14.48
Ecuador,ECU,2013,48.71,0.27,0.00,17.38,14.48
Ecuador,ECU,2014,48.36,0.34,0.09,17.28,14.48
Ecuador,ECU,2015,51.69,0.40,0.16,19.64,14.48
Ecuador,ECU,2016,57.77,0.29,0.15,23.63,14.48
Ecuador,ECU,2017,71.47,0.25,0.14,28.34,14.48
Ecuador,ECU,2018,70.51,0.28,0.14,27.39,14.48
Ecuador,ECU,2019,76.35,0.28,0.12,31.77,28.96
Ecuador,ECU,2020,77.76,0.26,0.13,36.04,28.96
Ecuador,ECU,2021,79.07,0.19,0.12,32.35,28.96
Egypt,EGY,1985,30.24,0.00,0.00,8.23,0.00
Egypt,EGY,1986,27.64,0.00,0.00,7.89,0.00
Egypt,EGY,1987,25.16,0.00,0.00,7.44,0.00
Egypt,EGY,1988,22.81,0.00,0.00,7.21,0.00
Egypt,EGY,1989,23.36,0.00,0.00,7.35,0.00
Egypt,EGY,1990,23.72,0.00,0.00,7.52,0.00
Egypt,EGY,1991,22.91,0.00,0.00,7.40,0.00
Egypt,EGY,1992,21.78,0.00,0.00,7.38,0.00
Egypt,EGY,1993,21.59,0.00,0.00,7.60,0.00
Egypt,EGY,1994,22.10,0.00,0.00,7.68,0.00
Egypt,EGY,1995,22.10,0.00,0.00,7.56,0.00
Egypt,EGY,1996,21.44,0.00,0.00,7.36,0.00
Egypt,EGY,1997,20.73,0.00,0.00,7.24,0.00
Egypt,EGY,1998,19.94,0.00,0.00,7.15,0.00
Egypt,EGY,1999,20.45,0.02,0.00,7.41,0.00
Egypt,EGY,2000,18.21,0.19,0.00,7.42,0.00
Egypt,EGY,2001,18.87,0.28,0.00,7.23,0.00
Egypt,EGY,2002,15.01,0.24,0.00,6.80,0.00
Egypt,EGY,2003,14.25,0.41,0.00,5.94,0.00
Egypt,EGY,2004,13.01,0.54,0.00,5.63,0.00
Egypt,EGY,2005,12.14,0.53,0.00,5.39,0.00
Egypt,EGY,2006,11.69,0.57,0.00,5.17,0.00
Egypt,EGY,2007,12.92,0.70,0.00,5.36,0.00
Egypt,EGY,2008,11.69,0.73,0.00,5.41,0.00
Egypt,EGY,2009,9.67,0.86,0.00,4.80,0.00
Egypt,EGY,2010,8.06,0.94,0.13,4.46,0.00
Egypt,EGY,2011,8.16,0.97,0.14,4.33,0.00
Egypt,EGY,2012,7.90,0.68,0.15,4.18,0.00
Egypt,EGY,2013,7.86,0.79,0.07,4.18,0.00
Egypt,EGY,2014,7.80,0.82,0.14,4.18,0.00
Egypt,EGY,2015,7.20,1.11,0.09,4.33,0.00
Egypt,EGY,2016,6.71,1.16,0.31,4.13,0.00
Egypt,EGY,2017,6.40,1.18,0.30,3.87,0.00
Egypt,EGY,2018,6.40,1.51,0.76,4.06,0.00
Egypt,EGY,2019,6.21,2.17,2.28,5.17,0.00
Egypt,EGY,2020,6.39,2.23,2.38,6.56,0.00
Egypt,EGY,2021,6.92,2.09,2.37,6.23,0.00
Estonia,EST,1985,0.00,0.00,0.00,0.00,0.00
Estonia,EST,1986,0.00,0.00,0.00,0.00,0.00
Estonia,EST,1987,0.00,0.00,0.00,0.00,0.00
Estonia,EST,1988,0.00,0.00,0.00,0.00,0.00
Estonia,EST,1989,0.00,0.00,0.00,0.00,0.00
Estonia,EST,1990,0.00,0.00,0.00,0.00,0.00
Estonia,EST,1991,0.00,0.00,0.00,0.00,0.00
Estonia,EST,1992,0.00,0.00,0.00,0.00,0.00
Estonia,EST,1993,0.00,0.00,0.00,0.00,0.00
Estonia,EST,1994,0.00,0.00,0.00,0.00,0.00
Estonia,EST,1995,0.00,0.00,0.00,0.03,0.00
Estonia,EST,1996,0.00,0.00,0.00,0.02,0.00
Estonia,EST,1997,0.00,0.00,0.00,0.04,0.00
Estonia,EST,1998,0.00,0.00,0.00,0.07,0.00
Estonia,EST,1999,0.00,0.00,0.00,0.09,0.00
Estonia,EST,2000,0.00,0.00,0.00,0.10,0.00
Estonia,EST,2001,0.12,0.00,0.00,0.10,0.00
Estonia,EST,2002,0.12,0.00,0.00,0.19,0.00
Estonia,EST,2003,0.10,0.10,0.00,0.22,0.00
Estonia,EST,2004,0.19,0.10,0.00,0.29,0.00
Estonia,EST,2005,0.20,0.49,0.00,0.50,0.00
Estonia,EST,2006,0.10,0.82,0.00,0.59,0.00
Estonia,EST,2007,0.16,0.74,0.00,0.59,0.00
Estonia,EST,2008,0.28,1.23,0.00,0.85,0.00
Estonia,EST,2009,0.34,2.28,0.00,2.79,0.00
Estonia,EST,2010,0.23,2.16,0.00,4.39,0.00
Estonia,EST,2011,0.23,2.87,0.00,4.93,0.00
Estonia,EST,2012,0.33,3.60,0.00,6.13,0.00
Estonia,EST,2013,0.23,3.99,0.00,4.71,0.00
Estonia,EST,2014,0.24,4.82,0.00,5.51,0.00
Estonia,EST,2015,0.30,7.00,0.00,6.58,0.00
Estonia,EST,2016,0.33,4.85,0.08,6.43,0.00
Estonia,EST,2017,0.23,5.47,0.08,6.83,0.00
Estonia,EST,2018,0.08,5.17,0.24,7.51,0.00
Estonia,EST,2019,0.26,9.07,0.92,9.91,0.00
Estonia,EST,2020,0.49,13.82,4.11,14.14,0.00
Estonia,EST,2021,0.28,10.15,4.87,14.33,0.00
Finland,FIN,1985,24.97,0.00,0.00,12.76,0.00
Finland,FIN,1986,25.31,0.00,0.00,12.68,0.00
Finland,FIN,1987,26.02,0.00,0.00,13.41,0.00
Finland,FIN,1988,24.98,0.00,0.00,13.07,0.00
Finland,FIN,1989,24.42,0.00,0.00,12.69,0.00
Finland,FIN,1990,19.97,0.00,0.00,15.04,14.48
Finland,FIN,1991,22.77,0.00,0.00,16.64,14.48
Finland,FIN,1992,26.17,0.00,0.00,18.37,14.48
Finland,FIN,1993,22.07,0.00,0.00,17.73,14.48
Finland,FIN,1994,17.96,0.02,0.00,15.92,14.48
Finland,FIN,1995,20.19,0.02,0.00,17.85,14.48
Finland,FIN,1996,17.09,0.01,0.00,15.46,14.48
Finland,FIN,1997,17.70,0.03,0.00,17.18,14.48
Finland,FIN,1998,21.45,0.03,0.00,20.30,14.48
Finland,FIN,1999,18.40,0.07,0.00,17.99,14.48
Finland,FIN,2000,21.01,0.11,0.00,19.70,14.48
Finland,FIN,2001,17.77,0.09,0.00,17.72,14.48
Finland,FIN,2002,14.43,0.08,0.00,16.26,14.48
Finland,FIN,2003,11.41,0.11,0.00,14.59,14.48
Finland,FIN,2004,17.61,0.14,0.00,19.51,14.48
Finland,FIN,2005,19.59,0.24,0.00,19.46,14.48
Finland,FIN,2006,14.00,0.20,0.00,17.53,14.48
Finland,FIN,2007,17.52,0.23,0.00,18.87,14.48
Finland,FIN,2008,22.23,0.34,0.00,22.43,14.48
Finland,FIN,2009,17.68,0.39,0.00,19.18,14.48
Finland,FIN,2010,16.08,0.36,0.00,19.65,14.48
Finland,FIN,2011,17.01,0.66,0.01,20.96,14.48
Finland,FIN,2012,24.05,0.70,0.01,24.98,14.48
Finland,FIN,2013,18.09,1.08,0.01,22.65,14.48
Finland,FIN,2014,19.76,1.64,0.01,24.73,14.48
Finland,FIN,2015,24.53,3.41,0.01,28.14,14.48
Finland,FIN,2016,23.07,4.48,0.03,26.59,14.48
Finland,FIN,2017,22.00,7.15,0.07,28.71,14.48
Finland,FIN,2018,19.01,8.35,0.13,28.64,14.48
Finland,FIN,2019,18.16,8.80,0.22,29.21,28.96
Finland,FIN,2020,23.11,11.55,0.32,33.17,28.96
Finland,FIN,2021,22.07,11.43,0.42,34.61,28.96
France,FRA,1985,18.18,0.00,0.00,7.89,0.00
France,FRA,1986,17.40,0.00,0.00,7.76,0.00
France,FRA,1987,18.81,0.00,0.00,8.58,0.00
France,FRA,1988,19.69,0.00,0.00,9.17,0.00
France,FRA,1989,11.53,0.00,0.00,5.60,0.00
France,FRA,1990,12.91,0.00,0.00,6.22,0.00
France,FRA,1991,12.75,0.00,0.00,6.27,0.00
France,FRA,1992,14.99,0.00,0.00,7.40,0.00
France,FRA,1993,13.82,0.00,0.00,6.97,0.00
France,FRA,1994,16.60,0.00,0.00,8.56,0.00
France,FRA,1995,14.89,0.00,0.00,7.82,0.00
France,FRA,1996,12.97,0.00,0.00,6.88,0.00
France,FRA,1997,12.73,0.00,0.00,6.80,0.00
France,FRA,1998,12.24,0.00,0.00,6.47,0.00
France,FRA,1999,13.91,0.01,0.00,7.39,0.00
France,FRA,2000,12.14,0.01,0.00,6.74,0.00
France,FRA,2001,13.36,0.02,0.00,7.41,0.00
France,FRA,2002,10.66,0.05,0.00,6.18,0.00
France,FRA,2003,10.24,0.07,0.00,5.96,0.00
France,FRA,2004,10.23,0.10,0.00,5.97,0.00
France,FRA,2005,8.80,0.17,0.00,5.37,0.00
France,FRA,2006,9.66,0.38,0.00,5.97,0.00
France,FRA,2007,9.96,0.72,0.00,6.64,0.00
France,FRA,2008,10.96,1.00,0.01,7.63,0.00
France,FRA,2009,10.49,1.49,0.03,7.71,0.00
France,FRA,2010,10.87,1.77,0.11,8.22,0.00
France,FRA,2011,8.06,2.18,0.41,7.19,0.00
France,FRA,2012,10.55,2.68,0.78,9.14,0.00
France,FRA,2013,12.48,2.80,0.90,10.46,0.00
France,FRA,2014,11.26,3.06,1.13,10.46,0.00
France,FRA,2015,9.68,3.73,1.35,10.15,0.00
France,FRA,2016,10.89,3.83,1.55,10.98,0.00
France,FRA,2017,8.99,4.43,1.72,10.44,0.00
France,FRA,2018,11.31,4.97,1.90,12.13,0.00
France,FRA,2019,10.06,6.14,2.18,12.38,0.00
France,FRA,2020,11.87,7.56,2.55,14.79,14.48
France,FRA,2021,10.83,6.69,2.86,13.67,0.00
Germany,DEU,1985,3.33,0.00,0.00,1.32,0.00
Germany,DEU,1986,3.55,0.00,0.00,1.41,0.00
Germany,DEU,1987,3.82,0.00,0.00,1.51,0.00
Germany,DEU,1988,3.65,0.00,0.00,1.50,0.00
Germany,DEU,1989,3.26,0.00,0.00,1.40,0.00
Germany,DEU,1990,3.19,0.01,0.00,1.34,0.00
Germany,DEU,1991,2.78,0.04,0.00,1.27,0.00
Germany,DEU,1992,3.26,0.05,0.00,1.52,0.00
Germany,DEU,1993,3.42,0.13,0.00,1.58,0.00
Germany,DEU,1994,3.79,0.27,0.00,1.74,0.00
Germany,DEU,1995,4.09,0.32,0.00,1.89,0.00
Germany,DEU,1996,3.99,0.38,0.00,1.68,0.00
Germany,DEU,1997,3.17,0.55,0.00,1.80,0.00
Germany,DEU,1998,3.12,0.83,0.01,1.97,0.00
Germany,DEU,1999,3.56,1.00,0.01,2.23,0.00
Germany,DEU,2000,3.80,1.63,0.01,2.89,0.00
Germany,DEU,2001,3.91,1.80,0.02,2.94,0.00
Germany,DEU,2002,3.97,2.73,0.03,3.54,0.00
Germany,DEU,2003,3.04,3.17,0.05,3.64,0.00
Germany,DEU,2004,3.40,4.26,0.09,4.52,0.00
Germany,DEU,2005,3.20,4.53,0.21,5.21,0.00
Germany,DEU,2006,3.18,4.97,0.35,6.03,0.00
Germany,DEU,2007,3.35,6.41,0.49,7.65,0.00
